Species,Code,ASD code (prefix),From ASD spectra,To ASD spectra,Site date
Castilla elastica,T6_01,T6,1,3,PNM050307
Castilla elastica,T6_02,T6,4,6,PNM050307
Castilla elastica,T6_03,T6,7,9,PNM050307
Castilla elastica,T6_04,T6,10,12,PNM050307
Castilla elastica,T6_05,T6,13,15,PNM050307
Castilla elastica,T6_06,T6,16,18,PNM050307
Castilla elastica,T6_07,T6,19,21,PNM050307
Castilla elastica,T6_08,T6,22,24,PNM050307
Castilla elastica,T6_09,T6,25,27,PNM050307
Castilla elastica,T6_10,T6,28,30,PNM050307
Chrysophyllum argenteum,T10_01,T10,1,3,PNM050307
Chrysophyllum argenteum,T10_02,T10,4,6,PNM050307
Chrysophyllum argenteum,T10_03,T10,7,9,PNM050307
Chrysophyllum argenteum,T10_04,T10,10,12,PNM050307
Chrysophyllum argenteum,T10_05,T10,13,15,PNM050307
Chrysophyllum argenteum,T10_06,T10,16,18,PNM050307
Chrysophyllum argenteum,T10_07,T10,19,21,PNM050307
Chrysophyllum argenteum,T10_08,T10,22,24,PNM050307
Chrysophyllum argenteum,T10_09,T10,25,27,PNM050307
Chrysophyllum argenteum,T10_10,T10,28,30,PNM050307
Anacardium excelsum,T1_01,T1,1,3,PNM050307
Anacardium excelsum,T1_02,T1,4,6,PNM050307
Anacardium excelsum,T1_03,T1,7,9,PNM050307
Anacardium excelsum,T1_04,T1,10,12,PNM050307
Anacardium excelsum,T1_05,T1,13,15,PNM050307
Anacardium excelsum,T1_06,T1,16,18,PNM050307
Anacardium excelsum,T1_07,T1,19,21,PNM050307
Anacardium excelsum,T1_08,T1,22,24,PNM050307
Anacardium excelsum,T1_09,T1,25,27,PNM050307
Anacardium excelsum,T1_10,T1,28,30,PNM050307
Cordia alliodora,T4_01,T4,1,3,PNM050307
Cordia alliodora,T4_02,T4,4,6,PNM050307
Cordia alliodora,T4_03,T4,7,9,PNM050307
Cordia alliodora,T4_04,T4,10,12,PNM050307
Cordia alliodora,T4_05,T4,13,15,PNM050307
Cordia alliodora,T4_06,T4,16,18,PNM050307
Cordia alliodora,T4_07,T4,19,21,PNM050307
Cordia alliodora,T4_08,T4,22,24,PNM050307
Cordia alliodora,T4_09,T4,25,27,PNM050307
Cordia alliodora,T4_10,T4,28,30,PNM050307
Bonamia trichantha,L7_01,L7,1,3,PNM050307
Bonamia trichantha,L7_02,L7,4,6,PNM050307
Bonamia trichantha,L7_03,L7,7,9,PNM050307
Bonamia trichantha,L7_04,L7,10,12,PNM050307
Bonamia trichantha,L7_05,L7,13,15,PNM050307
Bonamia trichantha,L7_06,L7,16,18,PNM050307
Bonamia trichantha,L7_07,L7,19,21,PNM050307
Bonamia trichantha,L7_08,L7,22,24,PNM050307
Bonamia trichantha,L7_09,L7,25,27,PNM050307
Bonamia trichantha,L7_10,L7,28,30,PNM050307
Luehea seemannii,T2_01,T2,1,3,PNM050307
Luehea seemannii,T2_02,T2,4,6,PNM050307
Luehea seemannii,T2_03,T2,7,9,PNM050307
Luehea seemannii,T2_04,T2,10,12,PNM050307
Luehea seemannii,T2_05,T2,13,15,PNM050307
Luehea seemannii,T2_06,T2,16,18,PNM050307
Luehea seemannii,T2_07,T2,19,21,PNM050307
Luehea seemannii,T2_08,T2,22,24,PNM050307
Luehea seemannii,T2_09,T2,25,27,PNM050307
Luehea seemannii,T2_10,T2,28,30,PNM050307
Ficus insipida,T9_01,T9,1,3,PNM050307
Ficus insipida,T9_02,T9,4,6,PNM050307
Ficus insipida,T9_03,T9,7,9,PNM050307
Ficus insipida,T9_04,T9,10,12,PNM050307
Ficus insipida,T9_05,T9,13,15,PNM050307
Ficus insipida,T9_06,T9,16,18,PNM050307
Ficus insipida,T9_07,T9,19,21,PNM050307
Ficus insipida,T9_08,T9,22,24,PNM050307
Ficus insipida,T9_09,T9,25,27,PNM050307
Ficus insipida,T9_10,T9,28,30,PNM050307
Annona spraguei,T5_01,T5,1,3,PNM050307
Annona spraguei,T5_02,T5,4,6,PNM050307
Annona spraguei,T5_03,T5,7,9,PNM050307
Annona spraguei,T5_04,T5,10,12,PNM050307
Annona spraguei,T5_05,T5,13,15,PNM050307
Annona spraguei,T5_06,T5,16,18,PNM050307
Annona spraguei,T5_07,T5,19,21,PNM050307
Annona spraguei,T5_08,T5,22,24,PNM050307
Annona spraguei,T5_09,T5,25,27,PNM050307
Annona spraguei,T5_10,T5,28,30,PNM050307
Trichostigma octandrum,L16_01,L16,1,3,PNM050307
Trichostigma octandrum,L16_02,L16,4,6,PNM050307
Trichostigma octandrum,L16_03,L16,7,9,PNM050307
Trichostigma octandrum,L16_04,L16,10,12,PNM050307
Trichostigma octandrum,L16_05,L16,13,15,PNM050307
Trichostigma octandrum,L16_06,L16,16,18,PNM050307
Trichostigma octandrum,L16_07,L16,19,21,PNM050307
Trichostigma octandrum,L16_08,L16,22,24,PNM050307
Trichostigma octandrum,L16_09,L16,25,27,PNM050307
Trichostigma octandrum,L16_10,L16,28,30,PNM050307
Gouania lupuloides,L5_01,L5,1,3,PNM050307
Gouania lupuloides,L5_02,L5,4,6,PNM050307
Gouania lupuloides,L5_03,L5,7,9,PNM050307
Gouania lupuloides,L5_04,L5,10,12,PNM050307
Gouania lupuloides,L5_05,L5,13,15,PNM050307
Gouania lupuloides,L5_06,L5,16,18,PNM050307
Gouania lupuloides,L5_07,L5,19,21,PNM050307
Gouania lupuloides,L5_08,L5,22,24,PNM050307
Gouania lupuloides,L5_09,L5,25,27,PNM050307
Gouania lupuloides,L5_10,L5,28,30,PNM050307
Stizophyllum riparium,L2_01,L2,1,3,PNM050307
Stizophyllum riparium,L2_02,L2,4,6,PNM050307
Stizophyllum riparium,L2_03,L2,7,9,PNM050307
Stizophyllum riparium,L2_04,L2,10,12,PNM050307
Stizophyllum riparium,L2_05,L2,13,15,PNM050307
Stizophyllum riparium,L2_06,L2,16,18,PNM050307
